Loaded plugins: langpacks, presto, refresh-packagekit
Installed Packages
file-roller-nautilus.x86_64                3.6.3-1.fc18                 @koji-override-0/$releasever
filesystem.x86_64                          3.1-2.fc18                   @koji-override-0/$releasever
findutils.x86_64                           1:4.5.10-5.fc18              @koji-override-0/$releasever
fipscheck.x86_64                           1.3.1-2.fc18                 @koji-override-0/$releasever
fipscheck-lib.x86_64                       1.3.1-2.fc18                 @koji-override-0/$releasever
firefox.x86_64                             20.0-1.fc18                  @updates
firewall-config.noarch                     0.2.12-5.fc18                @updates
firewalld.noarch                           0.2.12-5.fc18                @updates
firstboot.x86_64                           18.6-2.fc18                  @koji-override-0/$releasever
flac.x86_64                                1.2.1-10.fc18                @koji-override-0/$releasever
flash-plugin.x86_64                        11.2.202.280-release         @/flash-plugin-11.2.202.280-release.x86_64
flite.x86_64                               1.3-18.fc18                  @koji-override-0/$releasever
folks.x86_64                               1:0.8.0-1.fc18               @koji-override-0/$releasever
fontconfig.x86_64                          2.10.2-2.fc18                @updates
fontconfig-devel.x86_64                    2.10.2-2.fc18                @updates
fontpackages-filesystem.noarch             1.44-5.fc18                  @koji-override-0/$releasever
foomatic-filters.x86_64                    4.0.8-13.fc18                @koji-override-0/$releasever
fpaste.noarch                              0.3.7.1-8.fc18               @updates
fprintd.x86_64                             0.4.1-4.fc18                 @koji-override-1/$releasever
fprintd-pam.x86_64                         0.4.1-4.fc18                 @koji-override-1/$releasever
freetype.x86_64                            2.4.10-4.fc18                @updates
freetype-devel.x86_64                      2.4.10-4.fc18                @updates
frei0r-plugins.x86_64                      1.3-8.fc18                   @koji-override-0/$releasever
fuse.x86_64                                2.9.2-1.fc18                 @koji-override-0/$releasever
fuse-libs.x86_64                           2.9.2-1.fc18                 @koji-override-0/$releasever
fuseiso.x86_64                             20070708-12.fc18             @koji-override-0/$releasever
fxload.x86_64                              2002_04_11-12.fc18           @koji-override-0/$releasever
gamin.x86_64                               0.1.10-13.fc18               @koji-override-0/$releasever
gavl.x86_64                                1.4.0-1.fc18                 @koji-override-0/$releasever
gawk.x86_64                                4.0.1-2.fc18                 @koji-override-0/$releasever
gcalctool.x86_64                           6.6.2-1.fc18                 @koji-override-0/$releasever
gcc.x86_64                                 4.7.2-8.fc18                 @fedora 
gcc-c++.x86_64                             4.7.2-8.fc18                 @fedora 
gcr.x86_64                                 3.6.2-3.fc18                 @updates
gd.x86_64                                  2.0.35-18.fc18               @koji-override-0/$releasever
gdata-sharp.x86_64                         1.4.0.2-8.fc18               @fedora 
gdb.x86_64                                 7.5.1-38.fc18                @updates
gdbm.x86_64                                1.10-3.fc18                  @koji-override-0/$releasever
gdisk.x86_64                               0.8.5-1.fc18                 @koji-override-0/$releasever
gdk-pixbuf2.x86_64                         2.26.5-1.fc18                @koji-override-0/$releasever
gdm.x86_64                                 1:3.6.2-5.fc18               @koji-override-0/$releasever
gdm-libs.x86_64                            1:3.6.2-5.fc18               @koji-override-0/$releasever
gedit.x86_64                               2:3.6.2-1.fc18               @koji-override-0/$releasever
gegl.x86_64                                0.2.0-2.fc18                 @fedora 
genisoimage.x86_64                         1.1.11-14.fc18               @koji-override-0/$releasever
geoclue.x86_64                             0.12.99-1.fc18               @koji-override-0/$releasever
gettext.x86_64                             0.18.1.1-17.fc18             @koji-override-0/$releasever
gettext-common-devel.noarch                0.18.1.1-17.fc18             @fedora 
gettext-devel.x86_64                       0.18.1.1-17.fc18             @fedora 
gettext-libs.x86_64                        0.18.1.1-17.fc18             @koji-override-0/$releasever
gfs2-utils.x86_64                          3.1.5-1.fc18                 @koji-override-0/$releasever
ghex.x86_64                                3.6.1-1.fc18                 @fedora 
ghostscript.x86_64                         9.06-4.fc18                  @updates
ghostscript-cups.x86_64                    9.06-4.fc18                  @updates
ghostscript-fonts.noarch                   5.50-29.fc18                 @koji-override-0/$releasever
giflib.x86_64                              4.1.6-6.fc18                 @koji-override-0/$releasever
gimp.x86_64                                2:2.8.4-3.fc18               @updates
gimp-libs.x86_64                           2:2.8.4-3.fc18               @updates
gio-sharp.x86_64                           0.3-5.fc18                   @fedora 
git.x86_64                                 1.8.1.4-2.fc18               @updates
gjs.x86_64                                 1.34.0-1.fc18                @koji-override-0/$releasever
gkeyfile-sharp.x86_64                      0.1-10.fc18                  @fedora 
gl-manpages.noarch                         1.1-5.20130122.fc18          @updates
glade-libs.x86_64                          3.14.2-2.fc18                @koji-override-0/$releasever
glib-networking.x86_64                     2.34.2-1.fc18                @koji-override-0/$releasever
glib2.x86_64                               2.34.2-2.fc18                @updates
glibc.x86_64                               2.16-31.fc18                 @updates
glibc-common.x86_64                        2.16-31.fc18                 @updates
glibc-devel.x86_64                         2.16-31.fc18                 @updates
glibc-headers.x86_64                       2.16-31.fc18                 @updates
glibmm24.x86_64                            2.34.1-1.fc18                @koji-override-0/$releasever
